ad_title,brand_name,cost,ctr,id,like,video_name,is_ugc,duration,height,width,industry_parent,industry_child,objective_value,creative_theme,creative_concept,format_production_style,talent_type,demographic_representation,audience_focus,campaign_objective
Harder than you think!,Weapon Craft Run,0,0.07,7234166078191943681,5866,ad_23000000000_2_14_1,TRUE,30.016,1024,576,News & Entertainment,Games & Utility Software,App Installs,Educational & Explainer,Product demo,Native Video,None,No People Featured,Problem Aware,App Promotion
Harder than you think!,Weapon Craft Run,1,0.07,7239341210644971522,2759,ad_23000000000_2_15_1,TRUE,30,1024,576,News & Entertainment,Games & Utility Software,App Installs,Product-Centric,Product demo,Native Video,None,No People Featured,Unclear,App Promotion
Played through the night！,Survivor!.io,2,0.08,7262017358134624257,20940,ad_23000000000_2_16_1,TRUE,39.009,1280,720,News & Entertainment,Games & Utility Software,App Installs,Promotional & Offer-Based,Product demo,Native Video,Influencers,Primarily Male,Solution Aware,App Promotion
I bet you cannot!,Weapon Craft Run,1,0.08,7231570588031401985,2442,ad_23000000000_2_17_1,TRUE,30,1024,576,News & Entertainment,Games & Utility Software,App Installs,Product-Centric,Product demo,Native Video,None,No People Featured,Unaware Audience,App Promotion
Harder than you think!,Weapon Craft Run,1,0.08,7234165740919848962,7197,ad_23000000000_2_18_1,TRUE,30.016,1024,576,News & Entertainment,Games & Utility Software,App Installs,Product-Centric,Product demo,Native Video,None,No People Featured,Solution Aware,App Promotion
Harder than you think!,Weapon Craft Run,1,0.08,7239341238486466561,10195,ad_23000000000_2_19_1,TRUE,30,1024,576,News & Entertainment,Games & Utility Software,App Installs,Product-Centric,Product demo,Native Video,None,No People Featured,Unaware Audience,App Promotion
Snag epic deals from Belk and save on gifts for everyone on your list. Pay over time.,Afterpay - Buy now. Pay later.,2,0.15,7161173812305772546,3911,ad_26000000000_2_0_1,TRUE,21.167,1024,576,Life Services,Gifts & Flowers,App Installs,Promotional & Offer-Based,Limited-time offer,Native Video,Influencers,Primarily Female,Solution Aware,Sales
My room is EXTREMELLY DIRTY. Time to change it!,Tidy My Room,2,0.03,7167349248727973889,8200,ad_18000000000_2_0_1,FALSE,10.88,1024,576,Household Products,Cleaning Supplies,App Installs,Not Applicable,None,Animation & Motion Graphics,None,No People Featured,Unclear,Unclear
My room is EXTREMELLY DIRTY. Time to change it!,My Tidy Life,2,0.04,7167349242230833153,35248,ad_18000000000_2_1_1,FALSE,11.52,1024,576,Household Products,Cleaning Supplies,App Installs,Product-Centric,Product demo,Animation & Motion Graphics,None,No People Featured,Unclear,Awareness
download now,Record Story - Every Moment,2,0.02,7210289777899683842,14853,ad_10000000000_2_0_1,TRUE,15.51,960,540,Education,Non-academic Training (Hobbies),App Installs,Product-Centric,Product demo,Native Video,None,No People Featured,Problem Aware,App Promotion
Pencil Sketch Editor,Pencil Sketch Editor,2,0.05,7221825482572021762,4915,ad_10000000000_2_1_1,TRUE,22.734,1024,576,Education,Non-academic Training (Hobbies),App Installs,Product-Centric,Product demo,Native Video,None,No People Featured,Unaware Audience,App Promotion
Free download,Magic Painting,2,0.05,7221825181372088322,33356,ad_10000000000_2_2_1,TRUE,47.36,1280,720,Education,Non-academic Training (Hobbies),App Installs,Educational & Explainer,Product demo,Native Video,None,No People Featured,Problem Aware,App Promotion
Wait for it...,Focos,2,0.1,7226666675616727041,2017,ad_30000000000_2_0_1,TRUE,16.32,1024,576,E-Commerce (Non-app),Large E-commerce Platforms,App Installs,Educational & Explainer,Product demo,Native Video,Unclear,Diverse Gender Representation,Problem Aware,App Promotion
Discover Focos. Image quality that’ll turn heads.,Focos,2,0.1,7205592365679542273,2395,ad_30000000000_2_1_1,TRUE,19.073,1024,576,E-Commerce (Non-app),Large E-commerce Platforms,App Installs,Product-Centric,Product demo,Native Video,Combination of actors and customers,Diverse Ethnic Representation,Problem Aware,App Promotion
Snag epic deals from lululemon and save on gifts for everyone on your list. Pay over time.,Afterpay - Buy now. Pay later.,2,0.11,7161174262420766722,1890,ad_30000000000_2_2_1,TRUE,23.534,1024,576,E-Commerce (Non-app),Large E-commerce Platforms,App Installs,Promotional & Offer-Based,Product demo,Native Video,Combination of actors and customers,Primarily Female,Product Aware,Sales
Get ‘em the perfect gift from Nordstrom riiight now & pay it in 4 interest-free payments.,Afterpay - Buy now. Pay later.,2,0.14,7161174253864730625,2349,ad_30000000000_2_3_1,TRUE,20.467,1024,576,E-Commerce (Non-app),Large E-commerce Platforms,App Installs,Promotional & Offer-Based,Limited-time offer,Native Video,Actors,Primarily Young Adults,Solution Aware,Sales
Get ‘em the perfect gift from Nordstrom Rack riiight now & pay it in 4 interest-free payments.,Afterpay - Buy now. Pay later.,2,0.15,7161174108573646849,12095,ad_30000000000_2_4_1,TRUE,15.953,1024,576,E-Commerce (Non-app),Small & Medium-sized E-commerce Platforms,App Installs,Product-Centric,Unboxing,Native Video,None,No People Featured,Product Aware,Sales
Swallow them'all,Attack Hole - Black Hole Games,2,0.02,7250134390919102465,15769,ad_28000000000_2_0_1,FALSE,14.016,1024,576,Sports & Outdoor,Outdoor Equipment,App Installs,Product-Centric,Product demo,Native Video,None,No People Featured,Unaware Audience,App Promotion
You're not getting old. Just stretch!,Bend: Stretching & Flexibility,2,0.02,7202276466493947906,2809,ad_28000000000_2_1_1,TRUE,35.073,1024,576,Sports & Outdoor,Sports & Equipment,App Installs,Product-Centric,Product demo,Native Video,Combination of actors and customers,Diverse Age Range,Problem Aware,App Promotion
Improve your flexibility & mobility,Bend: Stretching & Flexibility,1,0.03,7268720032175570945,2624,ad_28000000000_2_2_1,TRUE,31.903,1024,576,Sports & Outdoor,Sports & Equipment,App Installs,Not Applicable,Product demo,Native Video,Actors,Primarily Young Adults,Problem Aware,App Promotion
"you're not getting old, you just need to stretch ",Bend: Stretching & Flexibility,2,0.03,7203290273409957890,1725,ad_28000000000_2_3_1,TRUE,32.811,1024,576,Sports & Outdoor,Sports & Equipment,App Installs,Testimonial & Social Proof,Product demo,Native Video,Customers,Primarily Middle-Aged Adults,Problem Aware,App Promotion
Swallow them'all!,Attack Hole,2,0.03,7219097724657434625,5049,ad_28000000000_2_4_1,TRUE,22.476,1280,720,Sports & Outdoor,Outdoor Equipment,App Installs,Product-Centric,Product demo,Native Video,None,No People Featured,Unaware Audience,App Promotion
Will they get 20 bucks?,Bend: Stretching & Flexibility,2,0.03,7223381121831895041,359895,ad_28000000000_2_5_1,TRUE,31.044,1024,576,Sports & Outdoor,Sports & Equipment,App Installs,Promotional & Offer-Based,Product demo,Native Video,Actors,Primarily Young Adults,Problem Aware,App Promotion
Will they get 20 bucks?,Bend: Stretching & Flexibility,1,0.04,7223382016146096129,3914,ad_28000000000_2_6_1,TRUE,32.8,1024,576,Sports & Outdoor,Sports & Equipment,App Installs,Promotional & Offer-Based,Product demo,Native Video,Combination of actors and customers,Primarily Young Adults,Problem Aware,App Promotion
Swallow them'all!,Attack Hole,2,0.04,7218726707883360257,15478,ad_28000000000_2_7_1,TRUE,32.662,1280,720,Sports & Outdoor,Outdoor Equipment,App Installs,Product-Centric,Product demo,Native Video,None,No People Featured,Unaware Audience,App Promotion
Improve your flexibility & mobility,Bend: Stretching & Flexibility,2,0.05,7285498302375116802,37335,ad_28000000000_2_8_1,TRUE,22.337,1024,576,Sports & Outdoor,Sports & Equipment,App Installs,Lifestyle & Aspirational,Before-and-after story,Native Video,Customers,Primarily Female,Problem Aware,App Promotion
Improve your flexibility & mobility,Bend: Stretching & Flexibility,2,0.05,7268758721889992705,100177,ad_28000000000_2_9_1,TRUE,25.75,1280,720,Sports & Outdoor,Sports & Equipment,App Installs,Testimonial & Social Proof,Before-and-after story,Native Video,Customers,Primarily Female,Problem Aware,App Promotion
Practical Metal Detector,Practical Metal Detector,1,0.06,7223668737568718849,3652,ad_28000000000_2_10_1,TRUE,14.165,1024,576,Sports & Outdoor,Sports & Outdoor,App Installs,Not Applicable,None,Native Video,None,Unclear,Unclear,Unclear
Gold Metal Detector,Gold Metal Detector,1,0.06,7223669113080119298,3033,ad_28000000000_2_11_1,TRUE,21.525,1024,576,Sports & Outdoor,Sports & Outdoor,App Installs,Product-Centric,Product demo,Native Video,None,No People Featured,Unclear,Awareness
You're not getting old. Just stretch!,Bend: Stretching & Flexibility,2,0.06,7202276487860715522,6014,ad_28000000000_2_12_1,TRUE,27.179,1024,576,Sports & Outdoor,Sports & Equipment,App Installs,Testimonial & Social Proof,Day-in-the-life story,Native Video,Customers,Primarily Female,Problem Aware,App Promotion
Swallow them all and see what happens!,Attack Hole - Black Hole Games,1,0.08,7252247505051811841,6101,ad_28000000000_2_13_1,TRUE,29.846,1024,576,Sports & Outdoor,Outdoor Equipment,App Installs,Product-Centric,Product demo,Native Video,None,No People Featured,Unaware Audience,App Promotion
Gold Metal Detector,Gold Metal Detector,1,0.13,7223668794240466945,5123,ad_28000000000_2_14_1,TRUE,35.132,1024,576,Sports & Outdoor,Sports & Outdoor,App Installs,Educational & Explainer,Product demo,Native Video,Customers,Primarily Male,Problem Aware,Awareness
Stretch daily & Improve your life,Bend: Stretching & Flexibility,2,0.2,7284220065544224769,132267,ad_28000000000_2_15_1,TRUE,23.722,1024,576,Sports & Outdoor,Sports & Equipment,App Installs,Testimonial & Social Proof,Before-and-after story,Native Video,Customers,Primarily Male,Problem Aware,App Promotion
Check Out my new SUPERCAR!,Car Games ·,1,0.01,7188236965979242498,6323,ad_25000000000_2_0_1,TRUE,28.95,1024,576,Games,Racing,App Installs,Humor & Entertainment,Parody,Native Video,None,No People Featured,Product Aware,Engagement
Slash your way through!,Sword Hunter,1,0.01,7115330500524474369,1976,ad_25000000000_2_1_1,FALSE,27.073,1280,720,Games,RPG,App Installs,Product-Centric,Product demo,Native Video,None,No People Featured,Unaware Audience,App Promotion
The most addictive game!,aquapark.io,2,0.01,7254211335634108418,2689,ad_25000000000_2_2_1,TRUE,30.038,1024,576,Games,Hyper-Casual,App Installs,Educational & Explainer,Product demo,Native Video,None,No People Featured,Product Aware,Engagement
Try it yourself,"Braindom 3: Smart, Brain Games",1,0.01,7164405287625572354,2161,ad_25000000000_2_3_1,FALSE,30.016,1024,576,Games,Hyper-Casual,App Installs,Humor & Entertainment,None,Native Video,None,No People Featured,Unaware Audience,Awareness
Try it yourself,"Braindom 3: Smart, Brain Games",1,0.01,7060227298297151490,1787,ad_25000000000_2_4_1,FALSE,30.016,1024,576,Games,Hyper-Casual,App Installs,Promotional & Offer-Based,None,Native Video,None,No People Featured,Unaware Audience,App Promotion
Want a VR Headset? Beat level 250!,Gorilla Chase (TAG),1,0.01,7106299905169375234,2213,ad_25000000000_2_5_1,TRUE,15.001,1024,576,Games,Hyper-Casual,App Installs,Humor & Entertainment,None,Animation & Motion Graphics,None,No People Featured,Unclear,Unclear
Harder than you think,Basket Battle,2,0.01,7249315214835154946,6563,ad_25000000000_2_6_1,TRUE,26.774,1024,576,Games,Hyper-Casual,App Installs,Humor & Entertainment,Not Applicable,Gamified Experience,None,No People Featured,Unclear,App Promotion
Expect anything to happen,Shoe Race,1,0.01,7117952658766659586,93864,ad_25000000000_2_7_1,FALSE,30.08,1024,576,Games,Hyper-Casual,App Installs,Humor & Entertainment,None,Native Video,None,No People Featured,Unclear,Engagement
Let me back to work,NERF Epic Pranks! Fun Bullets,2,0.01,7128362267213709313,4155,ad_25000000000_2_8_1,TRUE,28.48,1024,576,Games,Hyper-Casual,App Installs,Promotional & Offer-Based,Product demo,Native Video,Actors,Primarily Young Adults,Solution Aware,App Promotion
Save the Doge,Save the Doge,2,0.01,7202932607621398529,7443,ad_25000000000_2_9_1,TRUE,21.035,1280,720,Games,Hyper-Casual,App Installs,Humor & Entertainment,Product demo,Native Video,None,No People Featured,Unaware Audience,App Promotion
Become twerk master,Twerk Race 3D — Running Game,2,0.01,7241514959585165314,6321,ad_25000000000_2_10_1,TRUE,33.575,1280,720,Games,Hyper-Casual,App Installs,Humor & Entertainment,Product demo,Native Video,Influencers,Diverse Gender Representation,Unaware Audience,App Promotion
Fold to Unfold,Paper Fold,2,0.01,7033790587334098946,24600,ad_25000000000_2_11_1,FALSE,22.209,1024,576,Games,Hyper-Casual,App Installs,Lifestyle & Aspirational,None,Animation & Motion Graphics,None,Primarily Female,Unclear,Awareness
The most addictive game!,Paper.io 3D,2,0.01,7106829870172848130,9057,ad_25000000000_2_12_1,TRUE,30.016,1024,576,Games,Hyper-Casual,App Installs,Promotional & Offer-Based,Product demo,Native Video,None,No People Featured,Unaware Audience,App Promotion
Strategy lives here!,Rise of Kingdoms,1,0.01,7166424159974293506,1982,ad_25000000000_2_13_1,TRUE,30.953,1280,720,Games,Strategy,App Installs,Educational & Explainer,FAQ,Native Video,Influencers,Unclear,Product Aware,App Promotion
The Makeup Master Salon is open!,Makeup Master - Fashion Girl,2,0.01,7109407499652546561,19320,ad_25000000000_2_14_1,TRUE,34.219,1024,576,Games,Hyper-Casual,App Installs,Product-Centric,Product demo,Native Video,None,Diverse Ethnic Representation,Unaware Audience,App Promotion
It's time to train your brain!,Save the Doge,2,0.01,7160870482853707778,3926,ad_25000000000_2_15_1,TRUE,25.448,1280,720,Games,Hyper-Casual,App Installs,Product-Centric,Product demo,Native Video,Unclear,Unclear,Unaware Audience,App Promotion
The Makeup Master Salon is open!,Makeup Master - Fashion Girl,1,0.01,7255213688376852482,2805,ad_25000000000_2_16_1,FALSE,26.82,1024,576,Games,Hyper-Casual,App Installs,Educational & Explainer,None,Animation & Motion Graphics,None,No People Featured,Unclear,Unclear
The Makeup Master Salon is open!,Makeup Master - Fashion Girl,1,0.01,7255217206014705665,3396,ad_25000000000_2_17_1,FALSE,24.683,1024,576,Games,Hyper-Casual,App Installs,Educational & Explainer,Product demo,Animation & Motion Graphics,None,Primarily Female,Problem Aware,App Promotion
Become twerk master,Twerk Race 3D — Running Game,1,0.01,7251240397794672642,7726,ad_25000000000_2_18_1,TRUE,22.57,1280,720,Games,Hyper-Casual,App Installs,Not Applicable,Product demo,Native Video,Combination of actors and customers,Unclear,Unaware Audience,App Promotion
Fold to Unfold,Paper Fold,2,0.01,7052699606257254401,84616,ad_25000000000_2_19_1,FALSE,22.251,1024,576,Games,Hyper-Casual,App Installs,Trend-Based & Reactive,Meme-based content,Animation & Motion Graphics,None,Primarily Young Adults,Product Aware,Engagement
I didn't expect that when I downloaded it,Wizz - Make new friends,2,0.01,7156150381768441857,15879,ad_20000000000_2_0_1,FALSE,9.536,1024,576,Apps,Social,App Installs,Humor & Entertainment,None,Native Video,None,Primarily Young Adults,Unclear,Engagement
I didn't expect that when I downloaded it,Wizz - Make new friends,2,0.01,7156149866455924738,20218,ad_20000000000_2_1_1,FALSE,9.536,1024,576,Apps,Social,App Installs,Humor & Entertainment,None,Native Video,None,No People Featured,Unclear,Unclear
Nfs??,Wizz - Make new friends,2,0.01,7153631618060664833,7665,ad_20000000000_2_2_1,FALSE,9.536,1024,576,Apps,Social,App Installs,Not Applicable,None,Native Video,None,Unclear,Unclear,Unclear
I didn't expect that when I downloaded it,Wizz - Make new friends,2,0.01,7161838415968124930,22042,ad_20000000000_2_3_1,FALSE,13.722,1280,720,Apps,Social,App Installs,Not Applicable,None,Native Video,None,Unclear,Unclear,Unclear
Bad boy addictions? Savage sexy mafias? We have all your favorite fantasies.,Manta: Comics & Graphic Novels,2,0.01,7185493906825527297,4924,ad_20000000000_2_4_1,TRUE,32.043,1024,576,Apps,News & Reading,App Installs,Brand Story & Mission-Driven,Cinematic brand film,Native Video,None,No People Featured,Unaware Audience,Awareness
"Get some lessons, and master the beat, with this digital drum pad machine.",Beat Maker Pro - DJ Drum Pad,2,0.01,7151806779881422850,16330,ad_20000000000_2_5_1,TRUE,17.153,1024,576,Apps,Audio & Video Players,App Installs,Product-Centric,Product demo,Native Video,Unclear,Diverse Age Range,Product Aware,App Promotion
This APP can turn your photos into cartoon pictures! Amazing!,InSnap–Fashion Photo Editor,1,0.01,6800256788412366853,1739,ad_20000000000_2_6_1,TRUE,9.417,720,1280,Apps,Photography,App Installs,Product-Centric,Product demo,Native Video,Unclear,Diverse Ethnic Representation,Problem Aware,App Promotion
Get Scanner with AI for FREE!,"PDF Scanner App: Scan Docs, ID",2,0.01,6979917279283363841,4535,ad_20000000000_2_7_1,TRUE,15.019,1024,576,Apps,Business & Productivity,App Installs,Humor & Entertainment,Parody,Native Video,Actors,Diverse Gender Representation,Problem Aware,App Promotion
Capture the moment and Cut!,CapCut,1,0.01,7063372288640843777,2132,ad_20000000000_2_8_1,TRUE,15.047,1024,576,Apps,Audio & Video Players,App Installs,Product-Centric,Product demo,Native Video,None,No People Featured,Unaware Audience,App Promotion
Manta - Best collection of K-Manga / Manhwa,Manta: Comics & Graphic Novels,2,0.01,7097148847017164802,27594,ad_20000000000_2_9_1,TRUE,32.342,1280,720,Apps,News & Reading,App Installs,Brand Story & Mission-Driven,Cinematic brand film,Native Video,None,Diverse Gender Representation,Unaware Audience,Awareness
Keep streaming “My Vision” on @audiomack ❤️‍🔥⛷️ #skii,,1,0.01,7220922572253986817,11315,ad_20000000000_2_10_1,TRUE,8.705,1280,720,Apps,Audio & Video Players,App Installs,Promotional & Offer-Based,None,Native Video,Influencers,Primarily Young Adults,Product Aware,App Promotion
Discover Alight Motion,Alight Motion,2,0.01,7203337336993153026,34149,ad_20000000000_2_11_1,FALSE,10.006,1024,576,Apps,Audio & Video Players,App Installs,Humor & Entertainment,Meme-based content,Static Image,None,Diverse Gender Representation,Unclear,Engagement
I didn't expect that when I downloaded it,Wizz - Make new friends,2,0.01,7153632061634281473,103792,ad_20000000000_2_12_1,TRUE,7.169,1024,576,Apps,Social,App Installs,Humor & Entertainment,None,Native Video,Unclear,Primarily Young Adults,Unclear,Engagement
Download for free,TIKT Proxy : Fast Servers,1,0.01,7207690521782304769,12132,ad_20000000000_2_13_1,FALSE,15.093,1280,720,Apps,Utilities,App Installs,Not Applicable,None,Native Video,None,No People Featured,Unclear,Unclear
Create your own anime avatar for free!,Bored Ape Creator - NFT Art,2,0.01,7207989789790208001,3382,ad_20000000000_2_14_1,TRUE,23.809,1024,576,Apps,Photography,App Installs,Product-Centric,Product demo,Native Video,None,No People Featured,Unclear,App Promotion
Create your own anime avatar for free!,Vlinder Avatar Maker: Anime,1,0.01,7161627038309646338,21655,ad_20000000000_2_15_1,FALSE,29.867,1024,576,Apps,Life & Leisure,App Installs,Product-Centric,Product demo,Animation & Motion Graphics,None,No People Featured,Unaware Audience,App Promotion
Record the beautiful moments of life,CapCut - Video Editor,2,0.01,6948334706111348738,67204,ad_20000000000_2_16_1,TRUE,12.818,1024,576,Apps,Audio & Video Players,App Installs,Product-Centric,Product demo,Native Video,None,Primarily Female,Unclear,App Promotion
No Speaker? No Problem! Download NOW!,AmpMe - Speaker Volume Booster,2,0.01,6987824362539974657,4559,ad_20000000000_2_17_1,TRUE,41.534,1024,576,Apps,Audio & Video Players,App Installs,Product-Centric,Product demo,Native Video,Actors,Primarily Young Adults,Problem Aware,App Promotion
Discover Alight Motion,Alight Motion,1,0.01,7203337280700989442,3524,ad_20000000000_2_18_1,TRUE,10.006,1024,576,Apps,Audio & Video Players,App Installs,Humor & Entertainment,Meme-based content,Static Image,None,No People Featured,Unclear,Awareness
Prank your lover and family with haircut sound. Try now!,Air Horn: Funny Prank Sounds,1,0.01,7171380110326267906,3642,ad_20000000000_2_19_1,TRUE,21.227,1024,576,Apps,Life & Leisure,App Installs,Humor & Entertainment,Product demo,Native Video,Combination of actors and customers,Diverse Age Range,Unaware Audience,App Promotion
Free Download now !,Jarvis,2,0.01,7205422635042750466,22840,ad_27000000000_2_0_1,FALSE,24.667,1024,576,Food & Beverage,Cooking & Recipes,App Installs,Not Applicable,None,Native Video,None,No People Featured,Unaware Audience,App Promotion
Welcome to the STōK Cae Ras. Welsh for Racecourse. English for bold cold brew. @wrexham_afc,stokcoldbrew,2,0.03,7236859309065207810,275717,ad_27000000000_2_1_1,FALSE,45.951,1024,576,Food & Beverage,Non-alcoholic Beverages,App Installs,Humor & Entertainment,Parody,Native Video,Combination of actors and customers,Primarily Male,Product Aware,Awareness
"With 12 craveable subs, it’s easy to go a little overboard. Try all 12 on the Subway Series Menu!",Subway®,2,0.21,7190450265228591106,133173,ad_27000000000_2_2_1,TRUE,6.08,1024,576,Food & Beverage,Cuisine,App Installs,Product-Centric,Product demo,Native Video,None,Unclear,Product Aware,Awareness
Nothing beats mums recipe #familyrecipe #authenticrecipe,,2,0.21,7117187350883926017,30541,ad_27000000000_2_3_1,TRUE,9.134,1024,576,Food & Beverage,Cooking & Recipes,App Installs,Lifestyle & Aspirational,Day-in-the-life story,Native Video,None,Unclear,Solution Aware,Awareness
Its completely free. Get on it🫡 #fyp #homecooking #cooking #recipes,,2,0.37,7127593603179462658,3165,ad_27000000000_2_4_1,TRUE,11.534,1024,576,Food & Beverage,Cooking & Recipes,App Installs,Product-Centric,Comparison,Native Video,None,No People Featured,Problem Aware,App Promotion
Get right to refreshing.,sprite,2,0.41,7194426451872972802,12981,ad_27000000000_2_5_1,TRUE,6.016,1024,576,Food & Beverage,Non-alcoholic Beverages,App Installs,Product-Centric,Product demo,Native Video,Unclear,Primarily Male,Product Aware,Awareness
Download for free!,Disco VPN - Private Fast VPN,2,0.01,7210292381207920642,13642,ad_24000000000_2_0_1,TRUE,52.971,960,540,Business Services,Office Equipment & Supplies,App Installs,Lifestyle & Aspirational,None,Animation & Motion Graphics,None,Primarily Female,Unclear,Unclear
Looking for hacks to organize your small business? Check out QuickBooks Online.,Intuit Quickbooks,2,0.1,7024125379107815426,1766,ad_24000000000_2_1_1,TRUE,19.156,1024,576,Business Services,Office Equipment & Supplies,App Installs,Testimonial & Social Proof,Expert review,Native Video,Influencers,Primarily Female,Product Aware,Sales
Get Linktree PRO FREE for 30 days! The no.1 link in bio tool.,Linktree: Link in bio creator,2,0.16,7140887137092599810,16131,ad_24000000000_2_2_1,TRUE,30.934,1024,576,Business Services,Marketing & Advertising,App Installs,Educational & Explainer,Product demo,Native Video,Influencers,Primarily Male,Problem Aware,App Promotion
Dash when you want,DoorDash,2,0.16,7117749843468795906,539054,ad_24000000000_2_3_1,TRUE,17.025,1024,576,Business Services,Recruitment & Job Searching,App Installs,Lifestyle & Aspirational,Day-in-the-life story,Native Video,Customers,Unclear,Problem Aware,App Promotion
Sign up today to drive with Uber to start earning!,Uber - Driver: Drive & Deliver,2,0.17,7039034251811831810,13177,ad_24000000000_2_4_1,TRUE,34.71,1024,576,Business Services,Recruitment & Job Searching,App Installs,Promotional & Offer-Based,None,Native Video,Actors,Primarily Young Adults,Solution Aware,Leads
Reach your ideal customers on TikTok. Get started on TikTok now!,TikTok For Business,2,0.18,6930891822495793154,67287,ad_24000000000_2_5_1,FALSE,16.32,1024,576,Business Services,Marketing & Advertising,App Installs,Promotional & Offer-Based,None,Native Video,Experts,Primarily Male,Problem Aware,Leads
QuickBooks can save you time and money no matter what type of business you own.,QuickBooks Accounting,2,0.18,7102584579907043330,195979,ad_24000000000_2_6_1,TRUE,19.84,1024,576,Business Services,Office Equipment & Supplies,App Installs,Educational & Explainer,Product demo,Native Video,Influencers,Primarily Young Adults,Problem Aware,App Promotion
Have you ever heard of buying virtual land that pays Real Cash back?,Atlas Earth,2,0.2,6961989162501832706,7109,ad_24000000000_2_7_1,TRUE,26.9,1024,576,Business Services,Real Estate & Home Rentals,App Installs,Product-Centric,Product demo,Native Video,Unclear,Primarily Male,Problem Aware,App Promotion
It’s easy to earn big,DoorDash,2,0.2,7117748086961602561,262676,ad_24000000000_2_8_1,TRUE,20.033,1024,576,Business Services,Recruitment & Job Searching,App Installs,Lifestyle & Aspirational,Day-in-the-life story,Native Video,Actors,Diverse Age Range,Problem Aware,App Promotion
